,0
g_{0},-5.507146487918
g_{1},-4.410713422555
g_{2},-5.068037901148
g_{3},0.0
g_{4},0.0
g_{5},0.0
g_{6},-10.317252841931
g_{7},0.0
"p_{0,0}",-9.956723417365
"p_{0,1}",-10.610089550814
"p_{0,2}",-15.503338818059
"p_{0,3}",-15.506169433447
"p_{0,4}",-16.128617204982
"p_{0,5}",-16.158981324656
"p_{0,6}",-20.579876448201
"p_{0,7}",-20.587435048465
"p_{0,8}",-20.561147096156
"p_{0,9}",-20.57603301619
"p_{0,10}",-15.02754190433
"p_{0,11}",-14.371880381623
"p_{0,12}",-21.240651346414
"p_{0,13}",-10.625184886089
"p_{0,14}",-20.589488517484
"p_{0,15}",-21.247077401947
"p_{0,16}",-21.671499458741
"p_{0,17}",-21.708722205546
"p_{0,18}",-26.774034888532
"p_{0,19}",-26.782709594962
"p_{0,20}",-26.757386818154
"p_{0,21}",-16.16770377573
"p_{0,22}",-26.792634487048
"p_{0,23}",-26.774900159615
"p_{0,24}",-26.79096478861
"p_{0,25}",-26.784218938819
"p_{0,26}",-26.732291380356
"p_{0,27}",-26.789746206349
"p_{0,28}",-25.65155596965
"p_{0,29}",-31.86296061397
"p_{0,30}",-31.869295242908
"p_{0,31}",-31.800366369535
"p_{0,32}",-16.170108492304
"p_{0,33}",-16.816490920281
"p_{0,34}",-16.828057628878
